Direction,District,Elevator,Floor,Id,Layout,Price,Region,Renovation,Size,Year
,郫县城区,有,中楼层 (共32层),106101180538,2室2厅,78,东南,其他,70.34㎡,未知年建
,南湖,有,低楼层 (共34层),106101185900,2室1厅,140,东,其他,76.48㎡,2010年建
,水碾河,无,高楼层 (共6层),106101278157,2室1厅,72,西南,简装,65.49㎡,1995年建
,成外,有,低楼层 (共18层),106100865898,3室1厅,130,东南,其他,114.48㎡,2011年建
,万象城,有,中楼层 (共33层),106100851902,2室1厅,179,南,简装,80.54㎡,2012年建
,成外,有,高楼层 (共16层),106100858321,3室2厅,179,东南,精装,121.92㎡,2011年建
,衣冠庙,有,低楼层 (共15层),106101346654,2室1厅,117,西南,简装,67.28㎡,2005年建
,营门口,无,高楼层 (共6层),106100829238,4室2厅,235,东南,其他,189.38㎡,2000年建
,红牌楼,无,低楼层 (共7层),106101344236,3室2厅,216,东南,其他,122.79㎡,2003年建
,光华大道沿线,有,低楼层 (共34层),106101216837,3室1厅,115,南,毛坯,84.77㎡,2014年建
,金融城,有,高楼层 (共30层),106100847600,5室2厅,1100,南 北,其他,254.22㎡,2013年建
,龙泉驿城区,有,高楼层 (共21层),106101205772,2室1厅,70,东南,其他,62.91㎡,2005年建
,蓝谷地,有,高楼层 (共11层),106101204724,3室2厅,195,南,其他,119.02㎡,2006年建
,大源,有,低楼层 (共31层),106101199820,2室2厅,200,南,其他,76.49㎡,2014年建
,建设路,无,低楼层 (共7层),106101439797,3室2厅,232,东,简装,122.49㎡,2002年建
,广都,有,中楼层 (共18层),106101358713,3室2厅,190,北,其他,125.82㎡,2007年建
,橡树湾,有,高楼层 (共33层),106101584779,2室2厅,60,南 北,简装,48.13㎡,2013年建
,驷马桥,有,低楼层 (共21层),106101148150,1室1厅,90,东,其他,50.08㎡,2016年建
,一品天下,有,高楼层 (共28层),106101212590,3室1厅,240,东北,其他,83.6㎡,2012年建
,紫荆,无,高楼层 (共6层),106101211969,4室3厅,203,南,其他,137.64㎡,2002年建
,温江老城,暂无数据,低楼层 (共7层),106101210160,3室2厅,117,南 北,其他,129.42㎡,2006年建
,三圣乡,有,高楼层 (共34层),106101208079,2室2厅,157,西南,其他,86.85㎡,2009年建
,猛追湾,有,低楼层 (共22层),106101202470,4室2厅,370,西北,其他,186.17㎡,2000年建
,中和,有,中楼层 (共26层),106101193052,4室2厅,278,北,其他,143.03㎡,2013年建
,沙湾,无,中楼层 (共7层),106101191167,2室2厅,120,东南 西北,其他,92.3㎡,2000年建
,华阳,无,高楼层 (共6层),106101194420,3室1厅,200,南,毛坯,130㎡,2010年建
,万象城,有,低楼层 (共18层),106101190098,3室2厅,225,东,精装,116.2㎡,2008年建
,大源,有,高楼层 (共31层),106101189807,2室2厅,249,东,精装,89.05㎡,2014年建
,成外,有,中楼层 (共25层),106101189657,4室2厅,200,东北,其他,115.73㎡,2012年建
,橡树湾,有,低楼层 (共25层),106101188679,2室1厅,93,东北,其他,93.86㎡,2016年建
,沙河堡,有,中楼层 (共34层),106101185242,3室2厅,168,北,其他,81.47㎡,2011年建
,南湖,有,中楼层 (共27层),106101181636,3室2厅,210,南,其他,135.6㎡,2011年建
,万象城,有,中楼层 (共33层),106101178535,2室2厅,172,东,其他,86.68㎡,2012年建
,海洋公园,暂无数据,低楼层 (共24层),106101176779,2室2厅,108,东,其他,58.35㎡,2016年建
,高新西,有,低楼层 (共33层),106101177195,3室2厅,110,南,其他,75.45㎡,2012年建
,三圣乡,有,低楼层 (共32层),106101176242,3室1厅,153,西南,其他,89.32㎡,2013年建
,金沙,有,高楼层 (共15层),106101172459,1室1厅,128,西南,其他,49.55㎡,2013年建
,万年场,有,低楼层 (共33层),106101171377,2室2厅,112,西南,精装,68.84㎡,未知年建
,三圣乡,有,中楼层 (共29层),106101165824,3室2厅,208,东,其他,88.42㎡,2015年建
,光华大道沿线,无,中楼层 (共6层),106101161120,3室1厅,142,东 西,简装,117.54㎡,2006年建
,大丰,有,低楼层 (共14层),106101163486,3室2厅,205,南,精装,90.99㎡,2014年建
,金融城,有,低楼层 (共31层),106101159480,2室2厅,280,东,其他,82.42㎡,2013年建
,武侯立交,有,中楼层 (共16层),106101158015,2室2厅,171,东南,精装,86.99㎡,2012年建
,万象城,有,中楼层 (共18层),106101159816,3室2厅,200,东,简装,116.03㎡,2008年建
,郫县城区,有,高楼层 (共32层),106101155160,3室2厅,125,西北,其他,100.84㎡,2014年建
